Account Id,Account Owner,Account Owner Id,Rating,Account Name,Phone,Account Site,Fax,Parent Account,Parent Account Id,Website,Account Number,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By,Created By Id,Modified By,Modified By Id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description
zcrm_265928000000061103,Amelia Burrows,zcrm_265928000000034003,,Ventura Capitalists,800-555-0112,,,,,www.bellevue.com,0,,Hotel,,Real Estate,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,,,Mali LoÅçinj,,,,,,United States,,
zcrm_265928000000061105,Amelia Burrows,zcrm_265928000000034003,,Tony and Presscott Pvt Ltd,800-555-0110,,,,,www.margarita.com,0,,Hotel,,Hospitality,2500,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,26/07/12 10:40,USD,1,27/03/13 12:49,,,Mali LoÅçinj,,,,,,United States,,
zcrm_265928000000061107,Amelia Burrows,zcrm_265928000000034003,,Snow White Bakers,800-555-0109,,,,,www.mediterian.com,0,,Hotel,,Hospitality,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,,,MoÅçÛˆeniÛçka Draga,,,,,,United States,,
zcrm_265928000000061109,Amelia Burrows,zcrm_265928000000034003,,Smithson Publications,800-555-0108,,,,,www.ambasador.com,0,,Hotel,,Professional Services,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,1/11/12 10:15,USD,1,1/11/12 10:15,,,Opatija,,,,,,United States,,
zcrm_265928000000061111,Amelia Burrows,zcrm_265928000000034003,,H I D Corporation,800-555-0107,,,,,www.imperial.com,0,,,,Banking,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,,,Opatija,,,,,,United States,,
zcrm_265928000000061113,Tai Chang,zcrm_265928000000034003,,Floral Fashions,800-555-0105,,,,,www.aribiana.com,0,,Hotel,,Real Estate,0,0,0,Tai Chang,zcrm_265928000000034003,Tai Chang,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,"Obala kralja Petra KreÅçimira IV 
51280 RAB",,Rab,,,,,,United States,,
zcrm_265928000000061115,Tai Chang,zcrm_265928000000034003,,Frost essentials,800-555-0102,,,,,www.hotel-punta.com,0,,Hotel,,Financial Service,0,0,0,Tai Chang,zcrm_265928000000034003,Tai Chang,zcrm_265928000000034003,10/10/11 6:56,29/11/11 6:45,USD,1,11/12/11 10:16,,,Veli LoÅçinj,,,,,,United States,,
zcrm_265928000000061117,Amelia Burrows,zcrm_265928000000034003,,Smith Inc,800-555-0101,,,,,www.argentum.com,0,,Hotel,,Insurance,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:45,USD,1,11/12/11 10:13,"Vrbnik, Krk",,Vrbnik,,,,,,Australia,,
zcrm_265928000000061119,Tai Chang,zcrm_265928000000034003,,Minerva Publications,900-555-0119,,,,,www.omorika.com,0,,,,Real Estate,0,0,0,Tai Chang,zcrm_265928000000034003,Tai Chang,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,Milovana MuÅ_eviÛˆa bb 51260 Cikvenica,,Crikvenica,,,,,,United Kingdom,,
zcrm_265928000000061288,Amelia Burrows,zcrm_265928000000034003,Active,Thompson,900-555-0120,,,,,www.acmecorporation.com,0,,,,,0,2000000,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 10:11,31/05/13 22:29,USD,1,31/05/13 22:29,"1200, Blackpole Estate West",,San Francisco,,CA,,9468,,USA,,
zcrm_265928000000065057,Quinn Rivers,zcrm_265928000000034954,,Acme Inc,888-555-5656,,,,,,0,,,,Small/Medium Enterprise,2000,0,0,Quinn Rivers,zcrm_265928000000034003,Quinn Rivers,zcrm_265928000000034003,12/10/11 5:44,30/05/13 1:16,USD,1,30/05/13 1:16,PO Box 1850,,Corona,,CA,,92878-1850,,United States,,
zcrm_265928000000101009,Amelia Burrows,zcrm_265928000000034003,,Wave Interiors,800-555-0587,,,,,,0,,,,Small/Medium Enterprise,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,16/11/11 19:50,28/11/11 13:44,USD,1,29/05/13 23:51,,,,,,,,,United States,,
zcrm_265928000000127011,Amelia Burrows,zcrm_265928000000034003,,Zillum Inc.,800-555-5296,,,,,,0,,,,,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,12/12/11 13:43,9/7/13 18:43,USD,1,9/7/13 18:43,2843 Sherman Ave,,San Diego,,CA,,,,United States,,"Company : Zillum Inc. 
Websites :"
zcrm_265928000000177064,Amelia Burrows,zcrm_265928000000034003,,Yamaha Corporation of America,888-555-4444,,,,,,0,,,,Large Enterprise,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,27/03/12 15:33,27/03/12 15:33,USD,1,27/03/12 15:33,6600 Orangethorpe Ave,,Buena Park,,,,90620-1396,,United States,,
zcrm_265928000000397005,Amelia Burrows,zcrm_265928000000034003,,Red Line International,888-555-5578,,,,,,0,,,,Service Provider,25,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,9/5/13 19:17,9/5/13 19:17,USD,1,9/5/13 19:17,,,,,,,,,United States,,
zcrm_265928000000413037,Amelia Burrows,zcrm_265928000000034003,,Northrop Grumman Corporation,888-555-4367,,,,,,0,,,,,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,29/05/13 0:20,29/05/13 0:20,USD,1,29/05/13 0:20,5500 Canoga Ave,,Woodland Hills,,,,91367-6621,,United States,,
zcrm_265928000000416098,Amelia Burrows,zcrm_265928000000034003,,Saxon Mortgage Inc,888-555-8863,,,,,,0,,,,,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,30/05/13 17:21,30/05/13 17:21,USD,1,30/05/13 17:21,27121 Towne Centre Dr Ste 230,,Foothill Ranch,,,,92610-2807,,United States,,
zcrm_265928000000443032,Amelia Burrows,zcrm_265928000000034003,,Zillum Inc.,555-234-7890,,,,,,0,,,,Media,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,16/07/13 18:28,16/07/13 18:28,USD,1,16/07/13 18:28,9790 Research Road,,Austin,,TX,,78759,,United States,,
zcrm_265928000000452013,Amelia Burrows,zcrm_265928000000034003,,Yamaha Corporation of America,888-555-2342,,,,,,0,,,,Small/Medium Enterprise,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,25/07/13 20:37,25/07/13 20:37,USD,1,25/07/13 20:37,800 N Rice Ave,,Oxnard,,,,93030-8910,,United States,,
